timestamp,0
2024-02-26 06:40:00,1000.0
2024-02-26 06:45:00,1000.0
2024-02-26 06:50:00,1000.0
2024-02-26 06:55:00,1000.0
2024-02-26 07:00:00,1000.0
2024-02-26 07:05:00,1000.0
2024-02-26 07:10:00,1000.0
2024-02-26 07:15:00,1000.0
2024-02-26 07:20:00,1000.0
2024-02-26 07:25:00,1000.0
2024-02-26 07:30:00,1000.0
2024-02-26 07:35:00,1000.0
2024-02-26 07:40:00,1000.0
2024-02-26 07:45:00,1000.0
2024-02-26 07:50:00,1000.0
2024-02-26 07:55:00,1000.0
2024-02-26 08:00:00,1000.0
2024-02-26 08:05:00,1000.0
2024-02-26 08:10:00,1000.0
2024-02-26 08:15:00,1000.0
2024-02-26 08:20:00,1000.0
2024-02-26 08:25:00,1000.0
2024-02-26 08:30:00,1000.0
2024-02-26 08:35:00,1000.0
2024-02-26 08:40:00,1000.0
2024-02-26 08:45:00,1000.0
2024-02-26 08:50:00,1000.0
2024-02-26 08:55:00,1000.0
2024-02-26 09:00:00,1000.0
2024-02-26 09:05:00,1000.0
2024-02-26 09:10:00,1000.0
2024-02-26 09:15:00,1000.0
2024-02-26 09:20:00,1000.0
2024-02-26 09:25:00,1000.0
2024-02-26 09:30:00,1000.0
2024-02-26 09:35:00,1000.0
2024-02-26 09:40:00,1000.0
2024-02-26 09:45:00,1000.0
2024-02-26 09:50:00,1000.0
2024-02-26 09:55:00,1000.0
2024-02-26 10:00:00,1000.0
2024-02-26 10:05:00,1000.0
2024-02-26 10:10:00,1000.0
2024-02-26 10:15:00,1000.0
2024-02-26 10:20:00,1000.0
2024-02-26 10:25:00,1000.0
2024-02-26 10:30:00,1000.0
2024-02-26 10:35:00,1000.0
2024-02-26 10:40:00,1000.0
2024-02-26 10:45:00,1000.0
2024-02-26 10:50:00,1000.0
2024-02-26 10:55:00,1000.0
2024-02-26 11:00:00,1000.0
2024-02-26 11:05:00,1000.0
2024-02-26 11:10:00,1000.0
2024-02-26 11:15:00,1000.0
2024-02-26 11:20:00,1000.0
2024-02-26 11:25:00,1000.0
2024-02-26 11:30:00,1000.0
2024-02-26 11:35:00,1000.0
2024-02-26 11:40:00,1000.0
2024-02-26 11:45:00,1000.0
2024-02-26 11:50:00,1000.0
2024-02-26 11:55:00,1000.0
2024-02-26 12:00:00,1000.0
2024-02-26 12:05:00,1000.0
2024-02-26 12:10:00,1000.0
